,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
52,木曜日,木曜日[もくようび],もくようび,Thursday,Noun,<b>木曜日</b>は仕事が休みです。,Thursday is my day off work.,2,86
53,曜日,曜日[ようび],ようび,day of the week,Noun,<b>曜日</b>を間違えました。,I got the day of the week wrong.,2,87
54,火曜日,火曜日[かようび],かようび,Tuesday,Noun,<b>火曜日</b>に会議があります。,There's a meeting on Tuesday.,2,90
55,水曜日,水曜日[すいようび],すいようび,Wednesday,Noun,<b>水曜日</b>はバイトがあります。,I have a part-time job on Wednesdays.,2,93
56,週,週[しゅう],しゅう,week,Noun,その次の<b>週</b>は空いてますか。,Are you free the following week?,1,167
57,年,年[とし],とし,"year, age",Noun,新しい<b>年</b>が始まりました。,A new year has started.,1,143
58,分かる,分[わ]かる,わかる,understand,Verb,質問の意味は<b>分かりました</b>か。,Did you understand the meaning of the question?,1,82
59,そう,そう,そう,"in such manner, that way",Adverb,私も<b>そう</b>思います。,That's what I think too.,1,36
60,何,何[なに],なに,"what, which",Noun,夕食には<b>何</b>を食べたいですか。,What would you like for supper?,2,168
61,先,先[さき],さき,"ahead, first",Noun,お<b>先</b>にどうぞ。,Please go ahead.,2,151
62,今年,今年[ことし],ことし,this year,Noun,<b>今年</b>はイタリアに旅行したい。,I want to travel to Italy this year.,1,19
63,今,今[いま],いま,now,Adverb,彼は<b>今</b>、勉強しています。,He's studying now.,1,23
64,今日,今日[きょう],きょう,today,Noun,<b>今日</b>は仕事がありません。,I have no work today.,1,162
65,今月,今月[こんげつ],こんげつ,this month,Noun,<b>今月</b>はとても忙しい。,I'm very busy this month.,1,179
66,今週,今週[こんしゅう],こんしゅう,this week,Noun,<b>今週</b>は日本語のテストがあります。,There's a Japanese test this week.,2,72
67,来る,来[く]る,くる,come,Verb,彼は昼過ぎに<b>来ます</b>。,He'll come after lunch.,2,109
68,来年,来年[らいねん],らいねん,next year,Noun,<b>来年</b>一緒に旅行しましょう。,Let's travel together next year.,2,188
69,もう,もう,もう,"already, yet",Adverb,彼は<b>もう</b>帰りました。,He's already gone home.,1,38
70,行く,行[い]く,いく,go,Verb,日曜日は図書館に<b>行きます</b>。,I go to the library on Sundays.,1,30
71,帰る,帰[かえ]る,かえる,"return, go back",Verb,家に<b>帰ろう</b>。,Let's go home.,1,76
72,大きい,大[おお]きい,おおきい,big,Adjective,あの<b>大きい</b>建物は何ですか。,What's that big building?,2,136
73,小さい,小[ちい]さい,ちいさい,small,Adjective,<b>小さい</b>花が咲いています。,Small flowers are blooming.,2,157
74,少ない,少[すく]ない,すくない,"few, little",Adjective,今年は雨が<b>少ない</b>です。,There's not much rain this year.,1,29
75,少し,少[すこ]し,すこし,"a little, a little while (polite)",Adverb,<b>少し</b>疲れました。,I'm a little tired.,1,125
76,多い,多[おお]い,おおい,lots of,Adjective,京都にはお寺が<b>多い</b>。,There are a lot of temples in Kyoto.,1,4
77,多分,多分[たぶん],たぶん,"probably, perhaps",Adverb,彼女は<b>多分</b>家で寝ています。,She's probably sleeping at home.,2,43
78,上げる,上[あ]げる,あげる,"raise, improve",Verb,彼は荷物をあみだなに<b>上げた</b>。,He put the luggage on the luggage rack.,1,197
79,よく,よく,よく,often,Adverb,彼女は<b>よく</b>旅行に行きます。,She often goes on holiday.,1,45
80,上る,上[のぼ]る,のぼる,"go up, climb up",Verb,猫が屋根に<b>上っている</b>。,The cat's up on the roof.,2,64
81,上,上[うえ],うえ,"up, above",Noun,<b>上</b>を向いて。,Look up.,2,132
82,下,下[した],した,"under, below",Noun,財布は机の<b>下</b>にあった。,My purse was under the desk.,2,154
83,右,右[みぎ],みぎ,right,Noun,<b>右</b>のポケットにハンカチが入っています。,There's a handkerchief in my right pocket.,1,185
84,左,左[ひだり],ひだり,left,Noun,そこを<b>左</b>に曲がってください。,Please turn left there.,2,124
85,方,方[ほう],ほう,"direction, side",Noun,彼は私の<b>方</b>を見ました。,He looked at me.,2,174
86,大人,大人[おとな],おとな,adult,Noun,お酒は<b>大人</b>になってから。,You can drink alcohol when you're an adult.,2,139
87,人,人[ひと],ひと,person,Noun,彼は優しい<b>人</b>です。,He's a nice guy.,2,171
88,一人,一人[ひとり],ひとり,"one, one person",Noun,そこには私<b>一人</b>しかいなかった。,I was the only one there.,2,172
89,どう,どう,どう,"how, what",Adverb,あなたは<b>どう</b>思いますか。,What do you think?,1,48
90,入れる,入[い]れる,いれる,put in,Verb,彼はかばんに手帳を<b>入れた</b>。,He put the appointment book in his bag.,1,40
91,入る,入[はい]る,はいる,enter,Verb,寒いので中に<b>入って</b>ください。,It's cold so please come inside.,2,70
92,出る,出[で]る,でる,"go out, leave",Verb,今朝は早く家を<b>出ました</b>。,I left the house early this morning.,1,13
93,できる,できる,できる,"can do, be good at",Verb,彼女はイタリア語が<b>出来ます</b>。,She knows Italian.,1,132
94,出す,出[だ]す,だす,"take out, turn in",Verb,彼はかばんから教科書を<b>出した</b>。,He took the textbook out of his bag.,2,156
95,本,本[ほん],ほん,"book, volume",Noun,<b>本</b>を１冊買いました。,I bought one book.,1,44
96,休む,休[やす]む,やすむ,"take a day off, take a break",Verb,明日、会社を<b>休みます</b>。,I'm off work tomorrow.,2,199
97,体,体[からだ],からだ,"body, health",Noun,私は<b>体</b>が丈夫だ。,I'm physically strong.,1,104
98,目,目[め],め,eye,Noun,彼女は青い<b>目</b>をしています。,She has blue eyes.,2,182
99,どこ,どこ,どこ,where,Noun,あの本を<b>どこ</b>に置きましたか。,Where did you put that book?,1,52
100,口,口[くち],くち,mouth,Noun,<b>口</b>を大きく開けてください。,"Open wide, please.",2,146
101,耳,耳[みみ],みみ,"ear, hearing",Noun,彼女は<b>耳</b>がよく聞こえません。,Her hearing isn't very good.,1,183
102,上手,上手[じょうず],じょうず,"skilled,&nbsp;good",Adjectival Noun,妹は歌が<b>上手</b>です。,My little sister can sing.,2,120
103,手,手[て],て,hand,Noun,分かった人は<b>手</b>を上げてください。,Please raise your hand if you understand.,2,163
104,足,足[あし],あし,"leg, foot",Noun,彼は<b>足</b>が長い。,He has long legs.,1,119
105,空く,空[す]く,すく,"become empty, become less crowded",Verb,レストランは<b>空いていました</b>。,The restaurant was empty.,2,63
106,男,男[おとこ],おとこ,"man, male",Noun,<b>男</b>の人が私たちに話しかけた。,This guy began talking to us.,2,138
107,女,女[おんな],おんな,"woman, girl",Noun,店員は若い<b>女</b>の人でした。,The salesclerk was a young woman.,2,141
108,子供,子供[こども],こども,"child, kid",Noun,電車で<b>子供</b>が騒いでいた。,Kids were making a racket in the train.,1,35
109,あげる,あげる,あげる,give,Verb,この本、あなたに<b>あげます</b>。,I'll give you this book.,1,54
110,好き,好[す]き,すき,"favorite, liked",Adjectival Noun,私はワインが<b>好き</b>です。,I like wine.,1,158
111,大好き,大好[だいす]き,だいすき,love,Adjective,私は犬が<b>大好き</b>だ。,I love dogs.,2,60
112,私,私[わたし],わたし,I,Noun,<b>私</b>が行きましょう。,Why don't I go.,1,8
113,友達,友達[ともだち],ともだち,"friend, companion",Noun,私には<b>友達</b>がたくさんいます。,I have a lot of friends.,1,151
114,家,家[うち],うち,"house, home, my family",Noun,<b>家</b>に遊びに来てください。,Please come over to my house.,1,5
115,気,気[き],き,"spirit, temperament",Noun,彼は意外に<b>気</b>が小さい。,He's unexpectedly timid.,1,73
116,元気,元気[げんき],げんき,"healthy, energetic",Adjective,おかげさまで<b>元気</b>です。,"I'm fine, thank you.",1,191
117,天気,天気[てんき],てんき,weather,Noun,今日はいい<b>天気</b>ですね。,It's nice out today.,2,35
118,晴れる,晴[は]れる,はれる,"be sunny, clear up",Verb,明日は<b>晴れる</b>といいですね。,I hope it'll be sunny tomorrow.,2,59
119,こう,こう,こう,"like this, this kind of",Adverb,<b>こう</b>小さい字は読めない。,I can't read such small letters.,1,55
120,昨日,昨日[きのう],きのう,yesterday,Noun,<b>昨日</b>、友達に会った。,I met a friend yesterday.,2,144
121,開ける,開[あ]ける,あける,"open, unlock",Verb,窓を<b>開けて</b>ください。,Please open the window.,2,13
122,開く,開[ひら]く,ひらく,open を/が,Verb,32ページを<b>開いて</b>ください。,Please open to page 32.,2,73
123,閉じる,閉[と]じる,とじる,"close (book, eyes, etc.)",Verb,教科書を<b>閉じて</b>ください。,Please close your textbooks.,2,1
124,閉める,閉[し]める,しめる,"shut, close",Verb,ちゃんとドアを<b>閉めて</b>よ。,Close the door properly.,2,51
125,閉まる,閉[し]まる,しまる,"be shut, be closed",Verb,お店はもう<b>閉まっていました</b>。,The shop had already closed.,2,77
126,聞く,聞[き]く,きく,"hear, ask",Verb,彼女はラジオを<b>聞いています</b>。,She's listening to the radio.,1,47
127,時間,時間[じかん],じかん,"time, hour",Noun,今は<b>時間</b>がありません。,I don't have time now.,1,18
128,高い,高[たか]い,たかい,"high, tall",Adjective,これがこの町で一番<b>高い</b>ビルです。,This is the tallest building in town.,1,32
129,くれる,くれる,くれる,give (to me),Verb,友達が誕生日プレゼントを<b>くれた</b>。,My friend gave me a birthday present.,1,57
130,安い,安[やす]い,やすい,"inexpensive, cheap",Adjective,この服はとても<b>安かった</b>。,These clothes were very cheap.,1,100
131,低い,低[ひく]い,ひくい,"low, short",Adjective,彼は背が<b>低い</b>。,He's short.,1,107
132,前,前[まえ],まえ,"front, before",Noun,その店の<b>前</b>で会いましょう。,Let's meet in front of the shop.,2,110
133,後,後[あと],あと,after,Adverb,仕事の<b>後</b>、映画を見た。,I saw a movie after work.,1,70
134,後ろ,後[うし]ろ,うしろ,"back, behind",Noun,<b>後ろ</b>を向いて。,Turn around.,2,9
135,午後,午後[ごご],ごご,"afternoon, p.m.",Noun,明日の<b>午後</b>、お客様が来る。,A guest is coming to visit tomorrow afternoon.,1,42
136,午前,午前[ごぜん],ごぜん,"morning, a.m.",Noun,<b>午前</b>9時のニュースです。,And now for the 9.00 a.m. news.,1,60
137,朝,朝[あさ],あさ,morning,Noun,気持ちのいい<b>朝</b>です。,It's a pleasant morning.,1,88
138,昼,昼[ひる],ひる,"daytime, midday, lunch",Noun,私は<b>昼</b>のドラマを毎日見ます。,I watch daytime dramas every day.,2,14
139,かなり,かなり,かなり,"fairly, rather",Adverb,彼は<b>かなり</b>英語が上手です。,He's pretty good at English.,1,65
140,晩,晩[ばん],ばん,evening (usually from sunset to bedtime),Noun,<b>晩</b>ご飯は食べましたか。,Have you had dinner?,2,38
141,今晩,今晩[こんばん],こんばん,"this evening, tonight",Noun,<b>今晩</b>のパーティーは何時からですか。,From what time is the party tonight?,2,95
142,夜,夜[よる],よる,night (from sunset to sunrise),Noun,きのうの<b>夜</b>は家にいました。,I was at home last night.,2,186
143,食べる,食[た]べる,たべる,eat,Verb,昨日タイカレーを<b>食べました</b>。,I had Thai curry yesterday.,1,109
144,飲む,飲[の]む,のむ,drink,Verb,友達とお酒を<b>飲んでいます</b>。,I'm drinking sake with a friend.,1,188
145,ご飯,ご 飯[はん],ごはん,"cooked rice, meal",Noun,私はパンより<b>ご飯</b>が好きだ。,I prefer rice to bread.,2,65
146,買う,買[か]う,かう,buy,Verb,郵便局で切手を<b>買いました</b>。,I bought a stamp at the post office.,1,61
147,見る,見[み]る,みる,"see, look at",Verb,私は絵を<b>見る</b>のが好きです。,I like looking at pictures.,1,2
148,見せる,見[み]せる,みせる,show,Verb,その写真を<b>見せて</b>ください。,Please show me those pictures.,1,122
149,もっと,もっと,もっと,more,Adverb,<b>もっと</b>近くに来てください。,Please come closer.,1,75
150,見つける,見[み]つける,みつける,find (something),Verb,新しい仕事を<b>見つけました</b>。,I found a new job.,1,149
151,見える,見[み]える,みえる,be visible,Verb,ここから富士山がよく<b>見えます</b>。,You can see Mount Fuji well from here.,2,179
152,見つかる,見[み]つかる,みつかる,"be found, be caught",Verb,メガネが<b>見つかりません</b>。,I can't find my glasses.,2,200
153,言う,言[い]う,いう,"say, tell",Verb,上司が「一杯、飲もう。」と<b>言った</b>。,"My boss said: ""Let's have a drink.""",1,28
154,話す,話[はな]す,はなす,"speak, tell",Verb,母と電話で<b>話しました</b>。,I spoke to my mother on the phone.,1,102
155,読む,読[よ]む,よむ,read,Verb,彼女は雑誌を<b>読んでいます</b>。,She's reading the magazine.,1,146
156,漢字,漢字[かんじ],かんじ,Chinese character,Noun,<b>漢字</b>は中国から来ました。,Kanji came from China.,1,168
157,書く,書[か]く,かく,write,Verb,彼に手紙を<b>書きました</b>。,I wrote him a letter.,1,101
158,覚える,覚[おぼ]える,おぼえる,"memorize, learn",Verb,妹は平仮名を全部<b>覚えました</b>。,My little sister learned all the hiragana.,1,156
159,そこ,そこ,そこ,there,Pronoun,<b>そこ</b>に座ってください。,Please sit there.,1,85
160,会う,会[あ]う,あう,meet,Verb,また<b>会いましょう</b>。,Let's meet again.,1,92
161,仕事,仕事[しごと],しごと,"work, job",Noun,3月は<b>仕事</b>が忙しい。,I have a lot of work in March.,1,9
162,場合,場合[ばあい],ばあい,"situation, case",Noun,分からない<b>場合</b>は私に聞いてください。,Please ask me if you don't understand.,2,198
163,車,車[くるま],くるま,"car, automobile",Noun,弟が<b>車</b>を買った。,My younger brother bought a car.,1,79
164,電車,電車[でんしゃ],でんしゃ,train,Noun,私は<b>電車</b>で通学しています。,I go to school by train.,1,170
165,駅,駅[えき],えき,railway station,Noun,<b>駅</b>はどこですか。,Where's the station?,2,134
166,道,道[みち],みち,"way, road, street",Noun,この<b>道</b>を真っ直ぐ行くと駅です。,Go straight along this road to get to the station.,2,181
167,他,他[ほか],ほか,other,Noun,<b>他</b>に方法がありません。,There's no other way.,2,175
168,止める,止[や]める,やめる,"stop, give up, abolish",Verb,話すのを<b>止めて</b>ください。,"Stop talking, please.",2,184
169,ここ,ここ,ここ,here,Pronoun,<b>ここ</b>に本があります。,There's a book here.,1,105
170,歩く,歩[ある]く,あるく,"walk, go on foot",Verb,駅まで<b>歩きましょう</b>。,Let's walk to the station.,1,90
171,走る,走[はし]る,はしる,run,Verb,彼は毎晩3キロ<b>走っています</b>。,Every night he runs three kilometers.,1,86
172,近く,近[ちか]く,ちかく,"near, close to",Adverb,駅の<b>近く</b>で食事をした。,I ate near the station.,1,39
173,近い,近[ちか]い,ちかい,"near, close",Adjective,駅はここから<b>近い</b>です。,The station is near here.,1,84
174,近く,近[ちか]く,ちかく,"vicinity, nearby",Noun,私の家は駅の<b>近く</b>です。,My house is near the station.,2,28
175,遠い,遠[とお]い,とおい,"far, distant",Adjective,家から学校までは<b>遠い</b>です。,It's a long way from my house to the school.,1,181
176,長い,長[なが]い,ながい,long,Adjective,彼女の髪はとても<b>長い</b>。,Her hair is very long.,1,43
177,短い,短[みじか]い,みじかい,"short, brief",Adjective,彼は足が<b>短い</b>。,His legs are short.,1,133
178,広い,広[ひろ]い,ひろい,"wide, big",Adjective,彼の家はとても<b>広い</b>。,His house is very big.,1,81
179,もらう,もらう,もらう,receive,Verb,彼女からプレゼントを<b>もらいました</b>。,I got a present from her.,1,108
180,全部,全部[ぜんぶ],ぜんぶ,"all, wholly",Adverb,それ、<b>全部</b>ください。,"I'd like all of those, please.",1,193
181,国,国[くに],くに,country,Noun,私の<b>国</b>について少しお話しましょう。,Let me tell you a bit about my country.,1,25
182,白い,白[しろ]い,しろい,"white, blank (for paper)",Adjective,彼は歯が<b>白い</b>。,His teeth are white.,1,136
183,赤い,赤[あか]い,あかい,red,Adjective,<b>赤い</b>バラを買いました。,I bought a red rose.,1,161
184,部屋,部屋[へや],へや,room,Noun,私の<b>部屋</b>は2階にあります。,My room is on the second floor.,1,93
185,米,米[こめ],こめ,rice (grain),Noun,日本人はお<b>米</b>が大好きです。,Japanese people love rice.,2,3
186,まだ,まだ,まだ,"(not) yet, still",Adverb,宿題は<b>まだ</b>終わっていません。,I haven't finished my homework yet.,1,26
187,ある,ある,ある,"exist, possess",Verb,私の机の上に書類がたくさん<b>あります</b>。,There are a lot of documents on my desk.,2,128
188,無い,無[な]い,ない,to not be,Adjective,ここには何も<b>無い</b>。,There's nothing here.,2,55
189,とても,とても,とても,very,Adverb,この本は<b>とても</b>おもしろい。,This book is very interesting.,1,124
190,作る,作[つく]る,つくる,"make, create",Verb,今、朝ご飯を<b>作っています</b>。,I'm making breakfast now.,1,21
191,使う,使[つか]う,つかう,use,Verb,このパソコンを<b>使って</b>ください。,Please use this computer.,1,14
192,消す,消[け]す,けす,"erase, turn off",Verb,昼間は電気を<b>消して</b>ください。,Please turn the lights off during the day.,1,190
193,売る,売[う]る,うる,sell を,Verb,彼は家を<b>売った</b>。,He sold the house.,1,87
194,店,店[みせ],みせ,"shop, store",Noun,私はこの<b>店</b>によく来ます。,I come to this store quite often.,2,180
195,春,春[はる],はる,spring,Noun,今年の<b>春</b>は暖かいね。,"It's warm this spring, isn't it.",1,59
196,夏,夏[なつ],なつ,summer,Noun,私は<b>夏</b>が大好き。,I just love summer.,2,166
197,秋,秋[あき],あき,"autumn, fall",Noun,彼女は<b>秋</b>に結婚します。,She'll get married this fall.,1,95
198,冬,冬[ふゆ],ふゆ,winter,Noun,カナダの<b>冬</b>はとても寒いです。,Canada's winters are very cold.,1,142
199,みんな,みんな,みんな,"all, everybody",Noun,<b>みんな</b>にお菓子をあげましょう。,Let's give everyone some sweets.,1,129
200,暑い,暑[あつ]い,あつい,hot (temperature of the air),Adjective,今日はとても<b>暑い</b>。,It's very hot today.,2,36
201,熱い,熱[あつ]い,あつい,"hot (things, touch)",Adjective,このスープはとても<b>熱い</b>。,This soup is very hot.,2,23
202,寒い,寒[さむ]い,さむい,cold (temperature of the air),Adjective,この部屋は<b>寒い</b>です。,It's cold in this room.,2,152
203,暖かい,暖[あたた]かい,あたたかい,warm,Adjective,このコートはとても<b>暖かい</b>。,This coat is really warm.,2,127
204,新しい,新[あたら]しい,あたらしい,new,Adjective,彼の車は<b>新しい</b>。,His car is new.,1,7
205,古い,古[ふる]い,ふるい,old,Adjective,私は<b>古い</b>車が好きです。,I like old cars.,1,117
206,良い,良[い]い,いい,good,Adjective,彼女は<b>良い</b>友達です。,She's a good friend.,2,129
207,悪い,悪[わる]い,わるい,bad,Adjective,たばこは体に<b>悪い</b>。,Cigarettes are bad for your health.,2,190
208,思う,思[おも]う,おもう,think,Verb,私もそう<b>思います</b>。,I think so too.,1,16
209,いつも,いつも,いつも,always,Adverb,彼女は<b>いつも</b>元気だ。,She's always full of energy.,1,138
210,忘れる,忘[わす]れる,わすれる,"forget, leave behind",Verb,約束を<b>忘れないで</b>ください。,Please don't forget your promise.,1,152
211,考える,考[かんが]える,かんがえる,"think, consider",Verb,よく<b>考えて</b>ください。,Please think carefully.,1,33
212,決める,決[き]める,きめる,"decide, agree upon",Verb,帰国することに<b>決めました</b>。,I've decided to go back to my country.,1,31
213,決まる,決[き]まる,きまる,be decided,Verb,旅行の日程が<b>決まりました</b>。,I've decided on my travel schedule.,2,6
214,知る,知[し]る,しる,"&nbsp;(get to) know, realize",Verb,誰もその話を<b>知らない</b>。,No one knows that story.,1,20
215,一番,一番[いちばん],いちばん,most,Adverb,彼はクラスで<b>一番</b>背が高い。,He's the tallest in class.,1,165
216,住む,住[す]む,すむ,"live, reside",Verb,彼は会社の近くに<b>住んでいる</b>。,He lives near his office.,1,67
217,名前,名前[なまえ],なまえ,name,Noun,あなたの<b>名前</b>を教えてください。,Please tell me your name.,1,112
218,食べ物,食[た]べ 物[もの],たべもの,food,Noun,日本の<b>食べ物</b>はとても美味しいです。,Japanese food is very delicious.,2,31
219,いつ,いつ,いつ,when,Noun,彼女は<b>いつ</b>来ますか。,When is she coming?,1,150
220,飲み物,飲[の]み 物[もの],のみもの,"beverage, drink",Noun,何か<b>飲み物</b>が欲しいな。,I could really use something to drink.,2,85
221,重い,重[おも]い,おもい,"heavy, serious (illness)",Adjective,このかばんは<b>重い</b>です。,This bag is heavy.,1,144
222,軽い,軽[かる]い,かるい,"light, light weight",Adjective,この靴はとても<b>軽い</b>。,These shoes are very light.,1,148
223,送る,送[おく]る,おくる,send,Verb,彼の家に荷物を<b>送りました</b>。,I sent a package to his house.,1,97
224,取る,取[と]る,とる,"take, get",Verb,テストでいい点を<b>取った</b>。,I got a good grade on the test.,1,130
225,待つ,待[ま]つ,まつ,"wait, wait for",Verb,あなたが来るのを<b>待っています</b>。,I am waiting for you to come.,1,106
226,持つ,持[も]つ,もつ,"have, possess",Verb,私は車を<b>持っています</b>。,I have a car.,1,17
227,気持ち,気持[きも]ち,きもち,"feeling (about something, emotion)",Noun,彼の<b>気持ち</b>が分からない。,I don't understand his feelings.,1,77
228,生きる,生[い]きる,いきる,live (one's life),Verb,皆一生懸命<b>生きている</b>。,They're all living their lives the best way that they can.,1,49
229,どちら,どちら,どちら,which,Noun,肉と魚と<b>どちら</b>が好きですか。,"Which do you prefer, meat or fish?",1,154
230,先生,先生[せんせい],せんせい,teacher (respectful title),Noun,私は日本語の<b>先生</b>になりたいです。,I want to become a Japanese teacher.,1,71
231,大学,大学[だいがく],だいがく,"university, college",Noun,<b>大学</b>に行ってもっと勉強したいです。,I want to go to college and study more.,1,37
232,学生,学生[がくせい],がくせい,student,Noun,彼は真面目な<b>学生</b>です。,He's a serious student.,1,41
233,大学生,大学生[だいがくせい],だいがくせい,university student,Noun,姉は<b>大学生</b>です。,My big sister's a college student.,2,17
234,学校,学校[がっこう],がっこう,school,Noun,<b>学校</b>は8時半に始まります。,School starts at 8:30.,1,56
235,高校生,高校生[こうこうせい],こうこうせい,high school student,Noun,私の弟は<b>高校生</b>です。,My little brother's a high school student.,2,119
236,教える,教[おし]える,おしえる,"teach, tell",Verb,彼は数学を<b>教えています</b>。,He teaches mathematics.,1,89
